TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/09/13
TIME	10:28:53
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  300.0000
NPOINTS	    1201
FIRSTY	    21.31707
MAXY	    28.99502
MINY	    -0.61761
XYDATA
1388.0000	25.5577
1387.0000	25.4599
1386.0000	25.8935
1385.0000	25.2557
1384.0000	25.2984
1383.0000	24.9984
1382.0000	24.9326
1381.0000	24.8724
1380.0000	24.7378
1379.0000	24.9681
1378.0000	24.6496
1377.0000	24.6725
1376.0000	25.2734
1375.0000	25.9276
1374.0000	25.8091
1373.0000	25.6231
1372.0000	26.2847
1371.0000	26.7833
1370.0000	26.7461
1369.0000	26.779
1368.0000	26.7727
1367.0000	26.6077
1366.0000	26.6437
1365.0000	26.6758
1364.0000	26.8503
1363.0000	26.8005
1362.0000	26.6805
1361.0000	26.8928
1360.0000	26.5686
1359.0000	26.4723
1358.0000	26.0688
1357.0000	26.5103
1356.0000	26.2648
1355.0000	26.1732
1354.0000	26.2215
1353.0000	26.2443
1352.0000	26.3377
1351.0000	26.0357
1350.0000	26.5197
1349.0000	26.1819
1348.0000	26.4873
1347.0000	27.1768
1346.0000	27.5054
1345.0000	27.4148
1344.0000	27.842
1343.0000	27.8177
1342.0000	27.8638
1341.0000	27.5341
1340.0000	27.9611
1339.0000	27.6961
1338.0000	27.756
1337.0000	27.5518
1336.0000	27.8292
1335.0000	27.6261
1334.0000	27.5379
1333.0000	27.2095
1332.0000	27.4108
1331.0000	27.5266
1330.0000	27.3727
1329.0000	27.2693
1328.0000	27.5897
1327.0000	27.629
1326.0000	27.5556
1325.0000	27.7368
1324.0000	28.085
1323.0000	28.0517
1322.0000	28.5567
1321.0000	28.4987
1320.0000	28.6099
1319.0000	28.6203
1318.0000	28.5474
1317.0000	28.6095
1316.0000	28.2836
1315.0000	27.9548
1314.0000	28.2611
1313.0000	27.8166
1312.0000	28.0025
1311.0000	27.8658
1310.0000	27.9352
1309.0000	28.0622
1308.0000	28.3416
1307.0000	28.3346
1306.0000	28.3517
1305.0000	28.4285
1304.0000	28.4228
1303.0000	28.7114
1302.0000	28.6302
1301.0000	28.6171
1300.0000	28.3819
1299.0000	28.3277
1298.0000	28.2863
1297.0000	28.3493
1296.0000	28.3641
1295.0000	28.1181
1294.0000	28.2101
1293.0000	28.1508
1292.0000	28.0371
1291.0000	27.8487
1290.0000	27.7907
1289.0000	28.1201
1288.0000	28.0162
1287.0000	28.201
1286.0000	28.3239
1285.0000	28.6997
1284.0000	28.626
1283.0000	28.7339
1282.0000	28.5582
1281.0000	28.3419
1280.0000	28.4834
1279.0000	28.3427
1278.0000	28.4287
1277.0000	28.5227
1276.0000	28.4182
1275.0000	28.4249
1274.0000	28.3677
1273.0000	28.6028
1272.0000	28.7742
1271.0000	28.5374
1270.0000	28.6469
1269.0000	28.995
1268.0000	28.7455
1267.0000	28.662
1266.0000	28.4653
1265.0000	28.284
1264.0000	28.3596
1263.0000	28.2144
1262.0000	28.2431
1261.0000	28.0905
1260.0000	28.1163
1259.0000	28.0747
1258.0000	28.1007
1257.0000	28.0084
1256.0000	27.9517
1255.0000	27.9092
1254.0000	27.684
1253.0000	27.594
1252.0000	27.5556
1251.0000	27.7898
1250.0000	27.8407
1249.0000	27.8774
1248.0000	28.0649
1247.0000	28.2167
1246.0000	28.2001
1245.0000	28.1583
1244.0000	28.1968
1243.0000	27.9731
1242.0000	27.9103
1241.0000	27.7543
1240.0000	27.7754
1239.0000	27.9479
1238.0000	27.9078
1237.0000	27.9128
1236.0000	27.8658
1235.0000	27.9849
1234.0000	27.91
1233.0000	27.4671
1232.0000	27.323
1231.0000	27.3255
1230.0000	27.6159
1229.0000	27.5553
1228.0000	27.4994
1227.0000	27.725
1226.0000	27.6454
1225.0000	27.576
1224.0000	27.3222
1223.0000	27.3187
1222.0000	27.1678
1221.0000	27.4417
1220.0000	27.3481
1219.0000	27.2408
1218.0000	27.1413
1217.0000	27.0664
1216.0000	26.9886
1215.0000	27.0463
1214.0000	26.835
1213.0000	26.7896
1212.0000	26.8998
1211.0000	27.2286
1210.0000	27.3728
1209.0000	27.3531
1208.0000	27.151
1207.0000	27.0972
1206.0000	27.2334
1205.0000	27.0005
1204.0000	26.9182
1203.0000	26.7988
1202.0000	26.7961
1201.0000	26.8968
1200.0000	26.6045
1199.0000	26.8192
1198.0000	26.8103
1197.0000	26.9121
1196.0000	27.0232
1195.0000	27.1309
1194.0000	27.2004
1193.0000	26.8896
1192.0000	27.0088
1191.0000	27.0059
1190.0000	26.7688
1189.0000	26.4243
1188.0000	26.3568
1187.0000	26.1455
1186.0000	26.0877
1185.0000	25.852
1184.0000	25.8719
1183.0000	25.8937
1182.0000	26.1914
1181.0000	26.3142
1180.0000	26.2961
1179.0000	26.3376
1178.0000	26.2779
1177.0000	26.0092
1176.0000	25.9774
1175.0000	25.8941
1174.0000	25.8851
1173.0000	25.8573
1172.0000	25.715
1171.0000	25.7882
1170.0000	25.5965
1169.0000	25.4406
1168.0000	25.646
1167.0000	25.6304
1166.0000	25.5313
1165.0000	25.6435
1164.0000	25.7933
1163.0000	25.883
1162.0000	25.6422
